source_id,target_id,relationship,weight,label,bidirectional
tool_45,person_67,CREATED_BY,3,created by,0
tool_46,person_109,CREATED_BY,3,created by,0
tool_47,person_116,CREATED_BY,3,created by,0
tool_48,person_65,CREATED_BY,3,created by,0
tool_49,person_10,CREATED_BY,3,created by,0
tool_50,person_105,CREATED_BY,3,created by,0
tool_51,person_41,CREATED_BY,3,created by,0
tool_52,person_20,CREATED_BY,3,created by,0
tool_53,person_84,CREATED_BY,3,created by,0
tool_54,person_130,CREATED_BY,3,created by,0
tool_55,person_83,CREATED_BY,3,created by,0
tool_56,company_231,CREATED_BY,3,created by,0
tool_57,person_74,CREATED_BY,3,created by,0
tool_58,person_74,CREATED_BY,3,created by,0
tool_59,person_16,CREATED_BY,3,created by,0
tool_60,person_118,CREATED_BY,3,created by,0
tool_61,person_79,CREATED_BY,3,created by,0
tool_62,person_44,CREATED_BY,3,created by,0
tool_63,person_111,CREATED_BY,3,created by,0
tool_64,person_12,CREATED_BY,3,created by,0
tool_65,person_85,CREATED_BY,3,created by,0
tool_66,person_122,CREATED_BY,3,created by,0
tool_67,person_115,CREATED_BY,3,created by,0
tool_68,person_123,CREATED_BY,3,created by,0
tool_69,person_14,CREATED_BY,3,created by,0
tool_70,person_128,CREATED_BY,3,created by,0
tool_71,person_104,CREATED_BY,3,created by,0
tool_72,person_92,CREATED_BY,3,created by,0
tool_73,person_119,CREATED_BY,3,created by,0
tool_74,person_8,CREATED_BY,3,created by,0
tool_75,person_120,CREATED_BY,3,created by,0
tool_76,person_31,CREATED_BY,3,created by,0
tool_77,person_103,CREATED_BY,3,created by,0
tool_78,person_24,CREATED_BY,3,created by,0
tool_79,person_9,CREATED_BY,3,created by,0
tool_80,person_97,CREATED_BY,3,created by,0
tool_81,person_72,CREATED_BY,3,created by,0
tool_82,person_86,CREATED_BY,3,created by,0
tool_83,person_7,CREATED_BY,3,created by,0
tool_84,person_98,CREATED_BY,3,created by,0
tool_85,person_98,CREATED_BY,3,created by,0
tool_86,person_48,CREATED_BY,3,created by,0
tool_87,person_23,CREATED_BY,3,created by,0
tool_88,person_113,CREATED_BY,3,created by,0
tool_89,person_25,CREATED_BY,3,created by,0
tool_90,person_81,CREATED_BY,3,created by,0
tool_91,person_124,CREATED_BY,3,created by,0
tool_92,person_29,CREATED_BY,3,created by,0
tool_93,person_49,CREATED_BY,3,created by,0
tool_94,person_88,CREATED_BY,3,created by,0
tool_95,person_0,CREATED_BY,3,created by,0
tool_96,person_22,CREATED_BY,3,created by,0
tool_97,person_90,CREATED_BY,3,created by,0
tool_98,person_45,CREATED_BY,3,created by,0
tool_99,person_19,CREATED_BY,3,created by,0
tool_100,person_112,CREATED_BY,3,created by,0
tool_101,person_47,CREATED_BY,3,created by,0
tool_102,person_50,CREATED_BY,3,created by,0
tool_103,person_117,CREATED_BY,3,created by,0
tool_104,person_59,CREATED_BY,3,created by,0
tool_105,person_106,CREATED_BY,3,created by,0
tool_106,person_95,CREATED_BY,3,created by,0
tool_107,person_3,CREATED_BY,3,created by,0
tool_108,person_5,CREATED_BY,3,created by,0
tool_109,company_240,CREATED_BY,3,created by,0
tool_110,person_34,CREATED_BY,3,created by,0
tool_111,person_58,CREATED_BY,3,created by,0
tool_7,company_11,DEVELOPED_BY,4,developed by,1
tool_12,company_192,DEVELOPED_BY,4,developed by,1
tool_30,company_3,DEVELOPED_BY,4,developed by,1
tool_109,company_240,DEVELOPED_BY,4,developed by,0
company_3,tool_30,DEVELOPS,4,develops,1
company_3,tool_58,DEVELOPS,4,develops,0
company_3,tool_57,DEVELOPS,4,develops,0
company_10,tool_19,DEVELOPS,4,develops,0
company_11,tool_7,DEVELOPS,4,develops,1
company_11,tool_23,DEVELOPS,4,develops,0
company_23,tool_15,DEVELOPS,4,develops,0
company_23,tool_10,DEVELOPS,4,develops,0
company_45,tool_37,DEVELOPS,4,develops,0
company_152,tool_16,DEVELOPS,4,develops,0
company_152,tool_1,DEVELOPS,4,develops,0
company_169,tool_55,DEVELOPS,4,develops,0
company_169,tool_9,DEVELOPS,4,develops,0
company_192,tool_12,DEVELOPS,4,develops,1
company_192,tool_29,DEVELOPS,4,develops,0
company_209,tool_55,DEVELOPS,4,develops,0
company_209,tool_9,DEVELOPS,4,develops,0
company_238,tool_41,DEVELOPS,4,develops,0
company_238,tool_42,DEVELOPS,4,develops,0
company_257,tool_54,DEVELOPS,4,develops,0
tool_0,program_35,RUNS_ON,2,runs on,0
tool_0,program_66,RUNS_ON,2,runs on,0
tool_1,program_14,RUNS_ON,2,runs on,0
tool_1,program_74,RUNS_ON,2,runs on,0
tool_1,program_61,RUNS_ON,2,runs on,0
tool_2,program_66,RUNS_ON,2,runs on,0
tool_2,program_55,RUNS_ON,2,runs on,0
tool_2,program_65,RUNS_ON,2,runs on,0
tool_3,program_66,RUNS_ON,2,runs on,0
tool_3,program_25,RUNS_ON,2,runs on,0
tool_3,program_12,RUNS_ON,2,runs on,0
tool_3,program_72,RUNS_ON,2,runs on,0
tool_4,program_91,RUNS_ON,2,runs on,0
tool_5,program_66,RUNS_ON,2,runs on,0
tool_5,program_58,RUNS_ON,2,runs on,0
tool_6,program_91,RUNS_ON,2,runs on,0
tool_7,program_6,RUNS_ON,2,runs on,0
tool_7,program_79,RUNS_ON,2,runs on,0
tool_7,program_66,RUNS_ON,2,runs on,0
tool_8,program_24,RUNS_ON,2,runs on,0
tool_8,program_74,RUNS_ON,2,runs on,0
tool_8,program_66,RUNS_ON,2,runs on,0
tool_9,program_91,RUNS_ON,2,runs on,0
tool_10,program_67,RUNS_ON,2,runs on,0
tool_10,program_37,RUNS_ON,2,runs on,0
tool_11,program_91,RUNS_ON,2,runs on,0
tool_12,program_80,RUNS_ON,2,runs on,0
tool_13,program_3,RUNS_ON,2,runs on,0
tool_13,program_91,RUNS_ON,2,runs on,0
tool_14,program_91,RUNS_ON,2,runs on,0
tool_15,program_34,RUNS_ON,2,runs on,0
tool_15,program_38,RUNS_ON,2,runs on,0
tool_16,program_14,RUNS_ON,2,runs on,0
tool_16,program_39,RUNS_ON,2,runs on,0
tool_17,program_91,RUNS_ON,2,runs on,0
tool_18,program_91,RUNS_ON,2,runs on,0
tool_19,program_15,RUNS_ON,2,runs on,0
tool_19,program_91,RUNS_ON,2,runs on,0
tool_20,program_91,RUNS_ON,2,runs on,0
tool_20,program_92,RUNS_ON,2,runs on,0
tool_21,program_91,RUNS_ON,2,runs on,0
tool_21,program_58,RUNS_ON,2,runs on,0
tool_21,program_92,RUNS_ON,2,runs on,0
tool_22,program_59,RUNS_ON,2,runs on,0
tool_22,program_91,RUNS_ON,2,runs on,0
tool_23,program_66,RUNS_ON,2,runs on,0
tool_23,program_5,RUNS_ON,2,runs on,0
tool_23,program_48,RUNS_ON,2,runs on,0
tool_23,program_76,RUNS_ON,2,runs on,0
tool_23,program_31,RUNS_ON,2,runs on,0
tool_24,program_69,RUNS_ON,2,runs on,0
tool_24,program_30,RUNS_ON,2,runs on,0
tool_25,program_66,RUNS_ON,2,runs on,0
tool_25,program_77,RUNS_ON,2,runs on,0
tool_25,program_15,RUNS_ON,2,runs on,0
tool_25,program_95,RUNS_ON,2,runs on,0
tool_26,program_67,RUNS_ON,2,runs on,0
tool_26,program_1,RUNS_ON,2,runs on,0
tool_27,program_66,RUNS_ON,2,runs on,0
tool_27,program_83,RUNS_ON,2,runs on,0
tool_28,program_87,RUNS_ON,2,runs on,0
tool_28,program_94,RUNS_ON,2,runs on,0
tool_28,program_66,RUNS_ON,2,runs on,0
tool_28,program_91,RUNS_ON,2,runs on,0
tool_29,program_41,RUNS_ON,2,runs on,0
tool_29,program_72,RUNS_ON,2,runs on,0
tool_30,program_72,RUNS_ON,2,runs on,0
tool_30,program_41,RUNS_ON,2,runs on,0
tool_30,program_70,RUNS_ON,2,runs on,0
tool_30,program_63,RUNS_ON,2,runs on,0
tool_30,program_8,RUNS_ON,2,runs on,0
tool_31,program_7,RUNS_ON,2,runs on,0
tool_31,program_72,RUNS_ON,2,runs on,0
tool_31,program_52,RUNS_ON,2,runs on,0
tool_32,program_18,RUNS_ON,2,runs on,0
tool_33,program_18,RUNS_ON,2,runs on,0
tool_34,program_41,RUNS_ON,2,runs on,0
tool_34,program_72,RUNS_ON,2,runs on,0
tool_34,program_13,RUNS_ON,2,runs on,0
tool_35,program_41,RUNS_ON,2,runs on,0
tool_35,program_54,RUNS_ON,2,runs on,0
tool_36,program_41,RUNS_ON,2,runs on,0
tool_36,program_72,RUNS_ON,2,runs on,0
